Startup,Summary,URL
BatiScript,"Une plateforme collaborative de suivi de chantier, de l'Appel d'Offres à la Livraison, dédiée aux maîtres d'ouvrage et maîtres d'œuvre.",https://www.frenchproptech.fr/startup/batiscript/
Bazimo,"Bazimo, la solution qui libère la gestion immobilière",https://www.frenchproptech.fr/startup/bazimo/
Béa Immo,La toute première plateforme d'échange immobilier entre propriétaires,NaN
Beelly,Prédiction d'amélioration de DPE grace à des scénarios personalisés d'éco-rénvoation,NaN
Berkail,"On souhaite simplifier et décarboner l'expérience travaux de rénovation des biens immobiliers, pour les particuliers.",NaN
Bimeo,bimeo facilite la transition énergétique en proposant des outils de digitalisation de la donnée technique des bâtiments,https://www.frenchproptech.fr/startup/bimeo/
birdAI,Connaître l'état de votre parc immobilier grâce à la Data,https://www.frenchproptech.fr/startup/birdai/
Blocshare,Plateforme d'investissement immobilier fractionné sous forme de bloc,NaN
Blok.immo,Blok est un projet qui vise à tokeniser des actifs financiers indexés sur l'immobilier sur la blockchain,NaN
Bob! Desk,Solution SaaS de gestion d'interventions et de maintenance intégrant un réseau de prestataires.,NaN
boxee,"Promoteurs, gagnez jusqu'à 50% d'espace et accélérez vos projets",https://www.frenchproptech.fr/startup/boxee/
Burostation,"Créé en 2016 par Nordine El Ouachmi, Bureaux & Co construit et aménage des espaces collaboratifs design et ergonomiques.",https://www.frenchproptech.fr/startup/burostation/
CAMILEIA,CAMILEIA : Votre portail digital IWMS dédié au Facility Management et à l’Immobilier !,https://www.frenchproptech.fr/startup/camileia/
Canopy,Plateforme d'extraction automatique de données immobilières,NaN
Carb0n,La neutralité carbone des bâtiments tertiaires,NaN
Casam,"Casam, c'est le simulateur de rénovation énergétique en marque blanche qui vous donne une longueur d'avance sur la concurrence ! 

Conçu pour les [...]",NaN
Cézam,"Cézam permet aux professionnels de l'immobilier (promoteurs, agents immo, notaires) de valider en temps réel la capacité d'achat d'un client/prospect",https://www.frenchproptech.fr/startup/cezam/
Circular Impact - Moduloop,Moduloop la première plateforme qui permet de louer des espaces de bureaux complets transformables et scénarisables.,https://www.frenchproptech.fr/startup/circular-impact-moduloop/
CitéSource,CitéSource a pour mission d’accéléer la transition urbaine vers l’économie circulaire. CitéSource analyse le métabolisme urbain comme Paris [...],NaN
Citiprofile,"Citiprofile, la solution de mesure de l’attractivité commerciale",NaN
Clairly,"Clairly révolutionne la location en transformant chaque paiement ponctuel en un indicateur clé. Pour les propriétaires, l’analyse avancée des [...]",NaN
CLOVIS,Simple collaboration tool for real estate companies,https://www.frenchproptech.fr/startup/clovis/
Colibree,"1er site internet dédié à la cohabitation intergénérationnelle de courte et longue durée partout en France.
Nous sommes la 1️⃣ère [...]",NaN
COWORKEA,"Créateur et opérateur d'espaces de Coworking et de Corpoworking - sous-location au sein des entreprises qui ont des bureaux libres, sur un mode flex",https://www.frenchproptech.fr/startup/coworkea/
createam,"Createam fournit une solution innovante pour suivre les opérations de construction neuve pour un promoteur, un bailleur, un aménageur, etc.
La [...]",NaN
Data PM by Ipomm,"DATA PM va métamorphoser les manières de gestion, exploitation et maintenance des bâtiments",NaN
Devarchi Domotic,Automatisation des bâtiments avec la GTB facile d'installation et simple d'exploitation multi site et multi utilisateur,https://www.frenchproptech.fr/startup/devarchi-domotic/
Devisubox,Devisubox réalise le suivi à distance des chantiers et leur communication par des films timelapse cinématographiques.,https://www.frenchproptech.fr/startup/devisubox/
Dillan,Dillan propose des solutions de financement innovantes et transparentes s'appuyant sur la propriété immobilière des Seniors,NaN
Doiitch,Dooitch c’est une application mobile qui permet aux artisans de pouvoir acheter et se faire livrer les matériaux et consommables du bâtiment [...],NaN
DoorInsider,DoorInsider est une marketplace nouvelle génération dont la mission est de simplifier et faciliter les transactions immobilières. DoorInsider [...],NaN
DUNE - Design Universel,DUNE - Design Universel Novateur et Esthétique. Aider les acteurs de l'immobilier à rendre leurs logements inclusifs.,https://www.frenchproptech.fr/startup/dune-design-universel/
dwell,"Dwell, le logiciel qui simplifie et optimise vos états des lieux : centralisez, automatisez et renforcez vos relations clients efficacement.",https://www.frenchproptech.fr/startup/dwell/
Dynedoc,"Dynedoc propose aux acteurs du BTP et du BIM un environnement de collaboration simple et sécurisé pour les études, les travaux, et la maintenance.",NaN
EazyRent,EazyRent c'est avant tout la volonté de mettre à disposition des agences un outil pour faciliter la sélection des locataires. Nous avons [...],https://www.frenchproptech.fr/startup/eazyrent/
Eficia,EFICIA est une entreprise spécialisée dans l'efficacité énergétique des bâtiments professionnels.,https://www.frenchproptech.fr/startup/eficia/
EGS Colibri,"EGS, contractant général lillois, promeut avec EGS Colibri éco-matériaux et réemploi pour un avenir durable et local.",https://www.frenchproptech.fr/startup/egs-colibri/
eKonsilio,eKonsilio accompagne les professionnels de l'immobilier dans la gestion de leur relation client en ligne et leur génération de contacts qualifiés [...],NaN
Emoko,"Emoko propose une plateforme de création automatisée de visites virtuelles et simulateurs immersifs pour l'immobilier.

La plateforme développée [...]",NaN
EntreArtisant,La solution pour les dirigeants d’entreprise du bâtiment pour trouver des ressources opérationnelles dans les situations de sous-charge ou [...],NaN
Next P,"Depuis 2007, chez EP, de talentueux EPmakers fabriquent des solutions intelligentes et utiles pour décupler les performances du secteur de [...]",NaN
Equimmox,"1er moteur de recherche en immobilier d'entreprise, Equimmox centralise et enrichit l'ensemble des données du secteur.",https://www.frenchproptech.fr/startup/equimmox/
ERIGE,"ERIGE révolutionne le suivi de chantiers photo grâce à l’IA : analyse de risques, détection de non-conformités et optimisation en temps réel",https://www.frenchproptech.fr/startup/erige/
Estale,Estale accompagne les agences immobilières indépendantes dans la digitalisation de l’activité de syndic de copropriétés. Notre solution [...],https://www.frenchproptech.fr/startup/estale/
Estim'easy,"Estim'Easy, l'application d'estimation immobilière qui va enrichir l'expertise des agents immobiliers",https://www.frenchproptech.fr/startup/estimeasy/
Evalio,"Plateforme Saas d' « Expertise Augmentée » associant IA, big data et revue humaine, afin d’allier la rapidité d’un AVM à la qualité d’une [...]",https://www.frenchproptech.fr/startup/evalio/
Excense,"Une expérience unique pour animer toutes vos rencontres professionnelles, en présentiel et en visio.",https://www.frenchproptech.fr/startup/excense/
ExVal,outil carte intelligente qui permet à tous les professionnels d’analyser les comparables de transactions en un seul clic,NaN
FeelObject,Virtuoz est une solution comprenant des plans tactiles et vocaux qui permet aux personnes malvoyantes et non-voyantes de se déplacer en autonomie.,NaN
Fiveoffices,"Fiveoffices permet à des entreprises ""hosts"" de monétiser leurs bureaux vides en accueillant des entreprises ""guests""sur le court/moyen-terme.",NaN
FlatnYou,FlatnYou simplifie la location et la transaction !,https://www.frenchproptech.fr/startup/flatnyou/
FlexLiving,Flexliving révolutionne la marque employeur de ses clients grâce l'abonnement logement.,NaN
Fly2Success,Fly2success transforme la réhabilitation grâce à sa solution web dédiée à la maitrise du bâtiment existant,NaN
FOGO,FOGO développe des solutions innovantes de gestion de la chaleur.,https://www.frenchproptech.fr/startup/fogo/
Followme,"Solution de ticketing pour l'immobilier qui facilite et valorise le travail des gestionnaires, augmente la satisfaction des occupants et améliore l'en",https://www.frenchproptech.fr/startup/followme/
Formacast.org,Formacast réinvente la formation continue dans le secteur immobilier grâce à la gamification et maintenant l'intelligence artificelle.,NaN
Gabby.immo,Gabby met la data aux service des professionnels de l'immobilier.,https://www.frenchproptech.fr/startup/gabby-immo/
Gammeo,Gammeo simplifie le pilotage de votre parc immobilier avec une vue à 360°. Nos équipes se déplacent pour relever votre patrimoine et vous former.,NaN
GaPayLo,"Votre loyer réglé au 1er du mois, sans condition.",https://www.frenchproptech.fr/startup/gapaylo/
Geosophy,Nous simplifions l'accès à la géo-énergie locale et décarbonée pour un confort thermique durable,NaN
Gestia Solidaire,Gestia Solidaire oeuvre pour loger 8 millions de locataires solvables qui peinent à se loger dans les grandes villes grâce à l'immobilier responsable,https://www.frenchproptech.fr/startup/gestia-solidaire/
GETKEY,"Getkey est une société innovante dédiée aux professionnels de l'immobilier, conçue pour leur permettre de gagner en efficacité, visibilité et [...]",NaN
GoFlint,"Le portail pour faire baisser de 99% les coûts de diffusion d’annonces immobilières! PS: la raison sociale de GoFlint est Belloporto SAS, SIRET [...]",NaN
GR BIM,"GR BIM est une entreprise innovante spécialisée dans le BIM (Building Information Modeling). L’entreprise, actuellement composée de 10 [...]",NaN
Greenloc immo,Simplifier la relation candidat locataire et gagner du temps,https://www.frenchproptech.fr/startup/greenloc-immo/
hapiix,"La première solution digitale d'interphone, de contrôle d'accès et de diffusion d'informations.",NaN
HappyWait,La solution complète pour tous les promoteurs immobiliers,https://www.frenchproptech.fr/startup/happywait/
HAVEAGOODAY,"Chez Haveagooday, on redéfinit l'immobilier tertiaire en intégrant des services hôteliers de qualité dans les immeubles de bureau ? Des foncières au",https://www.frenchproptech.fr/startup/haveagooday/
HAVENGREEN SOLUTIONS,Fournir des solutions numériques innovantes pour une gestion immobilière Alignées sur les principes de durabilité et de performance environnementale,https://www.frenchproptech.fr/startup/havengreen-solutions/
Heero,Économisez votre énergie. Préparez vos travaux avec un compagnon de confiance.,NaN
Heria,Heria est une solution au service du logement des familles monoparentales,https://www.frenchproptech.fr/startup/heria/
Hestia,Hestia est une solution de leasing immobilier qui permet à tous de devenir propriétaire de son logement.,NaN
Hive & Co,Hive & Co accompagne les acteurs de l'immobilier dans la création de leurs contenus 3D.,NaN
HomeOpen,La data au service de l'immobilier,NaN
HOMIWOO,Homiwoo est une plateforme de data intelligence pour l'immobilier résidentiel.,https://www.frenchproptech.fr/startup/homiwoo/
Hoopp,"PAAM, la première maquette architecturale augmentée pour tous vos projets",https://www.frenchproptech.fr/startup/hoopp/
Horiz.io,Tous les services et outils pour investir sereinement en immobilier.,https://www.frenchproptech.fr/startup/horiz-io/
Idealys,"Éditeur de logiciels innovants pour la Smart City et le Smart Building:
Idéalys Smart Building
Premier portail applicatif attaché au logement, il [...]",NaN
Iduzo,Iduzo est un moteur flexible et rapide qui propose un chiffrage des travaux simultané à la modification des plans dans le but de réduire les [...],NaN
Immo Data,Immo Data permet aux agents immobiliers de capter plus de prospects et de convertir plus de mandats.,https://www.frenchproptech.fr/startup/immo-data/
Immo Fonctionnaire,L’unique plate-forme immobilière des agents de la fonction publique.,NaN
Immodivsor,Immodvisor accompagne les professionnels de l'immobilier dans la gestion de leur e-réputation.,https://www.frenchproptech.fr/startup/immodivsor/
Immofix,L'agence immobilière qui construit avec vous la performance énergétique de vos biens !,https://www.frenchproptech.fr/startup/immofix/
ImoGate,"Plateforme d'agrégation de data immobilières (collecte, mise en qualité, standardisation) pour le compte des Investisseurs immobiliers",NaN
Inch,"Inch simplifie les échanges, le partage de documents et facilite la gestion administrative des immeubles. Les gestionnaires peuvent se concentrer [...]",https://www.frenchproptech.fr/startup/inch/
Innovhomes,simplifier l’immobilier et la rénovation pour tous,NaN
iQspot,iQspot est le partenaire privilégié des investisseurs immobiliers pour co-construire une stratégie d’immobilier durable.,https://www.frenchproptech.fr/startup/iqspot/
Izaac,"Izaac propose une plateforme innovante de supervision énergétique, pour comprendre, maîtriser et agir sur l’impact et l’usage des bâtiments.",https://www.frenchproptech.fr/startup/izaac/
Izix,Izix est un logiciel de gestion et d'optimisation de parking tout-en-un pensé pour les propriétaires immobiliers.,https://www.frenchproptech.fr/startup/izix/
Joyloc,"Joyloc est une plateforme de location de courte durée réservée aux locataires, à leurs propriétaires et aux agences immobilières.",https://www.frenchproptech.fr/startup/joyloc/
Kadran,Kadran est LA solution pour les professionnels de l'immobilier leur permettant de vendre plus vite et mieux à travers les enchères interactives,NaN
Kaliz,"Offre de gestion locative complète (mise en location, assurance...) reposant sur une plateforme techno innovante et une équipe d’experts [...]",NaN
Keepen,Keepen aide les bailleurs à protéger leurs logements vacants contre des squats grâce à du matériel et logiciel d'alarme.,NaN
Kelvin,kelvin est un logiciel qui génère des études énergétiques à distance à partir d’une adresse et de photos d’un logement.,https://www.frenchproptech.fr/startup/kelvin/
Keyclic,"Keyclic est une application collaborative disponible sur mobile, tablettes et ordinateurs, permettant à tous les acteurs d’un bâtiment de faire [...]",NaN
Keyko Manager,"Keyko-Manager, une application pour gérer l'armoire à clés. Elle permet de manière simple et automatisée de suivre le prêt des clés.",NaN
Kilisoft,Marre d'utiliser des outils incomplets ou figés : pensez votre extranet comme le prolongement de votre activité et pas l’inverse.,https://www.frenchproptech.fr/startup/kilisoft/
Kodo.immo,Kodo.immo c'est le copilote qui modernise la transaction immobilière. Une solution métier adaptée à la mobilité des professionnels..,NaN
KRNO,"KRNO révolutionne le DPE avec l’IA pour fiabiliser les évaluations, réduire les litiges et maximiser la valeur immobilière des biens",https://www.frenchproptech.fr/startup/krno/
Kunagi,"Chez Home Meet Home, nous croyons que les résidents ont le pouvoir de contribuer à leur lieu de vie.
Comment ? Home Meet Home propose une solution [...]",NaN
La Loupe Immo,Hubim est une plateforme d'annonces immobilières ouverte à tous visant à faciliter les transactions et prises à bail par l’accès à toutes les [...],NaN
LEA-SYNDIC.fr,"Léa-Syndic simplifie la gestion des petites copropriétés en prenant en charge les aspects administratifs, juridiques et la comptabilité.",https://www.frenchproptech.fr/startup/lea-syndic-fr/
OLEAN Group,Nos logiciels de commercialisation experts répondent à l'ensemble des besoins commerciaux et digitaux des promoteurs immobiliers et des agents [...],NaN
Les Biens en Commun,Les Biens en Commun propose un service de location d'équipements du quotidien via des casiers connectés installés dans les lieux de vie,https://www.frenchproptech.fr/startup/les-biens-en-commun/
Life-01,Life-01 propose une réelle solution innovante de purification d’air pour nos logements. Cette solution consiste en un luminaire-plafonnier [...],NaN
Lifesize Plans Avignon,Nous sommes la première entreprise au monde (hors Australie) à proposer un service de projection de plan d'architecte à taille réelle.,NaN
LOWALL,Nouvel Industriel Hors Site pour des constructions décarbonées,NaN
Linkio,Linkio aide des entreprises à créer des produits domotique sur la base des techonlogies bluetooth et wifi. Notre second métier est la vente de [...],NaN
LivingRoom.immo,Permettre aux professionnels de l'immobilier de créer une expérience prospect digitalisée qui les démarque,NaN
Livret P.,Livret P. est l'application mobile qui démocratise l'épargne immobilière pour tous.,NaN
LOKIMO AI,"Accélérez vos décisions immobilières avec Lokimo AI : des données claires et des analyses prédictives, pour un avenir durable et maîtrisé.",https://www.frenchproptech.fr/startup/lokimo-ai/
Lore,Loré accompagne les sociétés immobilières dans la gestion de leurs opérations stratégiques de gestion financière.,https://www.frenchproptech.fr/startup/lore/
Lycaon,Développement d'une plateforme sur laquelle les utilisateurs peuvent découvrir le potentiel de leur bien immobilier sur 10 ans grâce à un [...],NaN
MABRIK IMMO,"Mabrik Immo est la première plateforme de gestion pour les Marchands de biens. Avec Mabrik le marchand peut simplifier, automatiser et digitaliser [...]",NaN
MadeInCourtage,Premier réseau de courtage indépendant en France,https://www.frenchproptech.fr/startup/madeincourtage/
maison.fr,Ne confiez plus vos travaux au hasard,NaN
Marvin,Marvin est le premier robot administrateur de biens qui permet aux professionnels de l'immobilier de gagner du temps,NaN
MASTEOS,"Investissement immobilier de A à Z (recherche de biens, travaux, ameublement, location)",NaN
Meridio,Meridio est une solution de mobilité innovante conçue pour répondre aux défis de l'urbanisation et de la durabilité. Étant au cœur des [...],NaN
Mesetys,MESETYS accélère les projets de conception de logement grâce à 2 piliers : un SaaS de collaboration et un algorithme de génération de plans,https://www.frenchproptech.fr/startup/mesetys/
Messibat,Nous sommes une start-up œuvrant dans la transition écologique et énergétique dans le secteur de la construction.Nous construisons des bâtiments [...],NaN
Methode 3 D,"Méthode 3D est une société spécialisée dans la modélisation BIM.Aujourd'hui, la modélisation n'est plus seulement un volume, elle combine des [...]",NaN
MOB-ENERGY,CONCEPTEUR & FABRICANT FRANÇAIS DE SOLUTIONS D’OPTIMISATION DE PUISSANCE ET D'ÉNERGIE,https://www.frenchproptech.fr/startup/mob-energy/
Mon AGIL,"Mon AGIL:  La solution de conciergeie immobilière pour tous les acteurs de l'immobilier Prestation à la carte, à prix fixe et personnalisable [...]",https://www.frenchproptech.fr/startup/mon-agil/
Mon Contre Expert,Gérez votre sinistre avec un contre expert !,https://www.frenchproptech.fr/startup/mon-contre-expert/
MON LODGEUR,"Alternative à la location meublée via une offre de location de pack de mobilier et d'électroménager avec livraison, installation et [...]",NaN
MON LUMI,Mon Lumi conçoit et fabrique des dispositifs de mapping interactifs qui se fondent dans les espaces publics,NaN
MonEmprunt.com,Monemprunt.com s'adresse à tous les acteurs du marché de l'immobilier. C'est la Solution Digitale pour qualifier les leads et booster les ventes,https://www.frenchproptech.fr/startup/monemprunt-com/
monlogement.ai,"Pionnier de l'IA, monLogement.ai propose des solutions digitales sur-mesure pour le logement social.",https://www.frenchproptech.fr/startup/monlogement-ai/
Mouchki,"Révolutionnons les habitudes dans l'hôtellerie en alliant la technologie et l'hôtellerie, pour obtenir une nouvelle façon de voyager",https://www.frenchproptech.fr/startup/mouchki/
MOVECOOL,"Movecool gère tous les contrats du logement : énergie, box internet, assurance et plus encore.",NaN
Murmuration,Murmuration utilise des données satellites et de l'intelligence artificielle pour générer des indicateurs environnementaux.,NaN
MY BRS,Spécialiste du bail réel solidaire,https://www.frenchproptech.fr/startup/my-brs/
MYPHOTOAGENCY,Myphotoagency est un réseau de photographes professionnels spécialisé dans l'immobilier. Nous accompagnons différents acteurs de limmobilier [...],NaN
MyTMA,"MyTMA propose aux acteurs de l'immobilier (Promoteurs, Bailleurs, AMOs...) un logiciel en ligne intuitif permettant de gérer l'ensemble de la [...]",NaN
Nexxio,Nexxio est une solution Saas spécialisée pour la gestion et le suivi des travaux d'entretien pour les  gestionnaires immobiliers  qui ont besoin [...],NaN
NONNA,"Nonna conceptionne, exploite et anime des lieux de vies hybrides et dynamiques, autour du coliving, coworking, event et F&B.",NaN
Notre Patrimoine,"Espaces numériques pour l'habitat - Bâtissez l'avenir, on s’occupe  du reste",https://www.frenchproptech.fr/startup/notre-patrimoine/
NovAccess,"Gérer les accès des batiments, n'a jamais été aussi simple.",https://www.frenchproptech.fr/startup/novaccess/
Vadimm,"Pilotez vos actions commerciales, automatisez la gestion administrative de vos ventes et simplifiez les échanges avec vos clie",https://www.frenchproptech.fr/startup/okgo/
OMEDOM,OMEDOM est une application type WebApp' exploitable sur tous supports numériques qui réunit tous les biens immobiliers affiliés à leur compte [...],NaN
Ooshot,Ooshot est la première solution premium de sélection de talents et de production de contenus visuels. Avec plus de 40.000 talents dans le monde.,NaN
O²Software,Nous éditons un logiciel à destination des promoteurs Immobilier. Solution qui évolue de manière collaborative grâce à l’expertise de ses [...],NaN
Otaree,Les meilleurs biens dans le neuf et l'ancien rénové. Otaree vous permet de vendre de l’immobilier neuf et d'investissement simplement en vous [...],https://www.frenchproptech.fr/startup/otaree/
OuiPark,,NaN
Paperas.se,Paperas.se est un outil SaaS pour les professionnels de l’immobilier permettant de rassembler facilement et rapidement les documents pour vendre,NaN
PARCOO,Notre solution est un réseau connecté de casiers individuels en libre-service pour sécuriser les véhicules de mobilité douce au quotidien,NaN
Pautions,Nous sommes la 1ère alternative au dépôt de garantie en France !,NaN
PICNIC Kiosque,"PICNIC Kiosque réinvente l'expérience de proximité en fusionnant la mobilité et l'innovation avec des kiosques mobiles, solaires et modulables.",https://www.frenchproptech.fr/startup/picnic/
Piloc,Le paiement qui simplifie la vie des gestionnaires immobiliers,https://www.frenchproptech.fr/startup/piloc/
PlugIMMO,Plateforme de commercialisation de programme Immobilier Neuf et Ancien,NaN
pocketimmo,1 ere IA de matching immobilier; Pocketimmo est un accélérateur de la rencontre idéal. Nous Géolocalisons  les gens grace à l'activation de la [...],NaN
POURYERE,Pouryère : La première entreprise qui permet de connaitre l’état de santé des jardins.,https://www.frenchproptech.fr/startup/pouryere/
Promo+,Promo + propose une suite logicielle complète de gestion de la qualité administrative sous formes de modules proposant des flux de travail métiers [...],NaN
Promy,Promy lance la première plateforme digitale qui repense la relation promoteurs-propriétaires et libère l'information foncière. Une vraie [...],NaN
QareData,"Un carnet d'entretien simple, intelligent et collaboratif via une solution SAAS, pour les professionnels de l'immobilier et de la maintenance, [...]",NaN
Raedificare,"De la démolition, à l'innovation, réinventer le remploi des matériaux de construction ou comment décarboner le BTP !",https://www.frenchproptech.fr/startup/raedificare/
Real Quality Rating (RQR),"La perception de valeur en immobilier mute rapidement du fait de la prise de conscience
environnementale et des nouvelles réglementations.
D’une [...]",NaN
Renouveau Immo,"Renouveau Immo est une plateforme pour transformer les biens anciens à rénover énergivores. Vendez et achetez grâce à notre portail d'annonces, [...]",https://www.frenchproptech.fr/startup/renouveau-immo/
Reveleo,Reveleo propose des évaluation santé-environnement des territoires et des bâtiments pour les particuliers et les professionnels.,NaN
RiverHome,Nous faisons du conseil deco naturelle 100% en ligne pour particulier et professionnels,NaN
Roof,Roof est un opérateur de logement étudiant,NaN
S3D Engineering,"Découvrez S3D ENGINEERING, experts en relevé 3D bâtiment, création de plans, certifiés ISO 9001 et garantis par une assurance décennale",https://www.frenchproptech.fr/startup/s3d-engineering/
Saqara,Description,https://www.frenchproptech.fr/startup/saqara/
SAS CLUB OFF-MARKET,"Le Off Market, c’est la face cachée de l’immobilier, où se trouvent les meilleures opportunités. Pourtant, y accéder est complexe : frais [...]",https://www.frenchproptech.fr/startup/sas-club-off-market/
SAS Urbanease,Nous développons des logiciels de prospection immobilière et foncière basés sur l'exploitation des données du marché immobilier et des [...],NaN
SetmeUp,Rendre l’aménagement enfin simple et complet pour +1M d'investisseurs en France et en Europe.,NaN
Seventee,Notre mission chez Seventee : aider les administrateurs de biens à gagner 6 heures par location et à réduire de moitié leur budget de diffusion [...],NaN
Sezame,"Sezame, opérateur de leasing immobilier, favorise l'ac",https://www.frenchproptech.fr/startup/sezame/
Show You,"Avec plus de 20 000 logements en ligne sur la France entière, SHOW YOU est la référence digitale des promoteurs immobiliers pour la gestion des [...]",NaN
SIANA,SIANA est le nouvel Operating System (OS) de l’agent immobilier moderne,https://www.frenchproptech.fr/startup/siana/
Sitadel,"La mission de Sitadel est de simplifier la vie des gestionnaires d'actifs immobiliers.
Sitadel est un outil de performance pour les fonctions support [...]",NaN
Sitowie,"Les bâtiments vieillissent, se dégradent et nous le subissons sans pouvoir l’anticiper. C'est là que Sitowie intervient. Sitowie développe une [...]",NaN
Soleo,Soleo - solutions innovantes de gestion budgétaire et contractuelle pour les maîtres d'ouvrage,NaN
Soneka,SONEKA est la solution intégrée de l’Asset Management Immobilier qui centralise toutes les données immobilières et facilite le processus décisionnel.,https://www.frenchproptech.fr/startup/soneka/
Spliit,Spliit réinvente la recherche de bureaux,https://www.frenchproptech.fr/startup/spliit/
Square Sense,"Square Sense permet aux asset managers et aux opérateurs d'améliorer la performance de leurs actifs en optimisant les relations locataires, [...]",NaN
SquareFactor (Square Co SAS),"SquareFactor est une solution d’analyse et de reporting conçue par Square Co, permettant aux entreprises de débloquer la pleine valeur de leurs [...]",NaN
Squarefeet,#1 solution de Leasing Management pour l'immobilier retail.,https://www.frenchproptech.fr/startup/squarefeet/
SWii Smart World Immo,SWii la 1ère Plateforme éco-responsable 360° pour le Logement & L'immobilier,NaN
Swwitch,,NaN
Symplimo,1ère plate-forme qui réinvente la mise en relation de particuliers à professionnels dans le domaine du patrimoine.,NaN
Tailora SAS,"Tailora est votre Lego digital pour vous aider à commercialiser, communiquer sur votre immeuble à rénover ou construire.",NaN
Teamzy,"Teamzy, c’est une plateforme unique qui offre un suivi centralisé, en temps réel, de son projet d’achat, vente, construction rénovation pour [...]",NaN
Tech for Buildings,Intégrateur opérateur de solutions tech pour l'immobilier tertiaire visant à faciliter la transformation de l'usage des locaux professionnels,NaN
TechnoCarbon,TechnoCarbon décarbone l'architecture et l'industrie avec les premiers matériaux durables à hautes performances techniques et écologiques,NaN
TenderCrunch,Révolutionnez votre réponse à appel d'offre avec TenderCrunch,https://www.frenchproptech.fr/startup/tendercrunch/
The Fancy Room,"Fancy, les nouveaux créateurs d’intérieurs. Nous rendons simple et accessible ton nouvel intérieur, de sa conception à sa réalisation dès [...]",NaN
TimeLapse Go',"Nous sommes une société innovante spécialiste du suivi de chantier connecté assisté par IA, et de la réalisation de films timelapse et drone.",https://www.frenchproptech.fr/startup/timelapse-go/
Toltek,"Toltek achètent, rénovent et revalorisent les passoires thermiques des propriétaires qui n’ont pas les moyens de rénové, malgré les aident [...]",NaN
Toqenize,SCIcrypto by Toqenize est une plateforme de tokenisation des actifs des SCI,NaN
Trackstone,Trackstone est la seule plateforme qui permet d'acheter et vendre des biens immobiliers déjà loués.,https://www.frenchproptech.fr/startup/trackstone/
KONFORM,Logiciel d'aide à la décision dans la rénovation résidentielle. KONFORM® est un allié de taille pour les professionnels et les particuliers.,https://www.frenchproptech.fr/startup/travaux-et-meubles/
Trustymo,Une application mobile éco responsable conçue pour fluidifier la communication dans les résidences,https://www.frenchproptech.fr/startup/trustymo/
Twinsys,Conciliez expérience collaborateur et performance immobilière grâce à des données d’occupation fiables.,NaN
U.R.B.S,"Producteurs de données qualifiées et de plateformes géographiques, nos solutions font référence et facilitent les métiers des acteurs de l'immobilier",https://www.frenchproptech.fr/startup/u-r-b-s/
